mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_xgboost__subsample,param_xgboost__n_estimators,param_xgboost__max_depth,param_xgboost__learning_rate,param_xgboost__colsample_bytree,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
23.87713400522868,1.7442005694881964,1.3096667925516765,0.12593420464689986,0.7,500,6,0.05,0.8,"{'xgboost__subsample': 0.7, 'xgboost__n_estimators': 500, 'xgboost__max_depth': 6, 'xgboost__learning_rate': 0.05, 'xgboost__colsample_bytree': 0.8}",0.7402152659087529,0.7837786295110332,0.7704505565621073,0.7648148173272977,0.018225674740654525,1
26.30656933784485,2.3206081957828917,1.079156716664632,0.23562892017862141,0.8,500,10,0.05,0.7,"{'xgboost__subsample': 0.8, 'xgboost__n_estimators': 500, 'xgboost__max_depth': 10, 'xgboost__learning_rate': 0.05, 'xgboost__colsample_bytree': 0.7}",0.7186263476310055,0.7688007034376683,0.7905208722496802,0.7593159744394513,0.030107316172468954,2
7.874271869659424,0.29533222070548365,0.21574274698893228,0.006989780951009374,0.8,200,10,0.2,0.8,"{'xgboost__subsample': 0.8, 'xgboost__n_estimators': 200, 'xgboost__max_depth': 10, 'xgboost__learning_rate': 0.2, 'xgboost__colsample_bytree': 0.8}",0.7584909873103748,0.750831137509425,0.7685398018119844,0.7592873088772615,0.007251427164064672,3
9.983936468760172,0.24926248494507777,0.47893937428792316,0.02121412522902903,0.7,200,8,0.2,1.0,"{'xgboost__subsample': 0.7, 'xgboost__n_estimators': 200, 'xgboost__max_depth': 8, 'xgboost__learning_rate': 0.2, 'xgboost__colsample_bytree': 1.0}",0.7404253369810344,0.7697928384134516,0.7531091315024047,0.754442435632297,0.012026243803250927,4
12.882467667261759,1.4096986154809563,0.5624639987945557,0.05487012817266022,0.7,300,4,0.05,0.7,"{'xgboost__subsample': 0.7, 'xgboost__n_estimators': 300, 'xgboost__max_depth': 4, 'xgboost__learning_rate': 0.05, 'xgboost__colsample_bytree': 0.7}",0.6739569321814142,0.7837102926236241,0.7979041689287517,0.7518571312445967,0.05538770797270161,5
15.856858332951864,0.8322452450948513,0.5956697463989258,0.07210470643791833,0.7,300,4,0.1,0.7,"{'xgboost__subsample': 0.7, 'xgboost__n_estimators': 300, 'xgboost__max_depth': 4, 'xgboost__learning_rate': 0.1, 'xgboost__colsample_bytree': 0.7}",0.6762903783858657,0.7779149141135833,0.7866718360587194,0.7469590428527227,0.05009801076313791,6
14.488674799601236,1.098337668637193,0.34387707710266113,0.0674115431371869,0.8,300,8,0.1,1.0,"{'xgboost__subsample': 0.8, 'xgboost__n_estimators': 300, 'xgboost__max_depth': 8, 'xgboost__learning_rate': 0.1, 'xgboost__colsample_bytree': 1.0}",0.7262245305453946,0.7613566278888491,0.7486873110309109,0.7454228231550516,0.014527186622701927,7
9.611981312433878,0.02571571857278157,0.35044630368550617,0.06866815128874028,0.7,200,4,0.1,0.7,"{'xgboost__subsample': 0.7, 'xgboost__n_estimators': 200, 'xgboost__max_depth': 4, 'xgboost__learning_rate': 0.1, 'xgboost__colsample_bytree': 0.7}",0.660375595033935,0.7743956418663318,0.7961670869547829,0.7436461079516832,0.059548202864002094,8
12.593026796976725,0.18235104744899353,0.45919005076090497,0.04343369152429549,0.8,200,10,0.2,1.0,"{'xgboost__subsample': 0.8, 'xgboost__n_estimators': 200, 'xgboost__max_depth': 10, 'xgboost__learning_rate': 0.2, 'xgboost__colsample_bytree': 1.0}",0.6894207674722749,0.762173567064482,0.7577498197776427,0.7364480514381332,0.03330231686553315,9
12.693612098693848,1.1572244027795509,0.5635137557983398,0.039157602753316076,1.0,300,8,0.2,0.8,"{'xgboost__subsample': 1.0, 'xgboost__n_estimators': 300, 'xgboost__max_depth': 8, 'xgboost__learning_rate': 0.2, 'xgboost__colsample_bytree': 0.8}",0.6746474667809808,0.7637074979272683,0.7523707767915524,0.7302419138332672,0.03958271692556702,10
