Model,Recall,Precision,F1 Score,ROC AUC,PR AUC
Logistic Regression,0.8846153846153846,0.02776101388050694,0.053832650672908135,0.9233578722780501,0.7232763759759008
Random Forest,0.75,0.8478260869565217,0.7959183673469388,0.8749176606206037,0.7786820673990202
XGBoost,0.7307692307692307,0.9047619047619048,0.8085106382978723,0.8653375643106747,0.7594706059838618
