Strategy,Recall,Precision,F1 Score,PR AUC
No handling,0.5192307692307693,0.75,0.6136363636363636,0.5294798566293644
Class weighting,0.75,0.8666666666666667,0.8041237113402062,0.7573775542498107
Random under-sampling,0.9038461538461539,0.017715793441387108,0.03475046210720887,0.6858192458833358
